Container: container_1649687236961_0265_01_000006 on dbg12:42025
LogAggregationType: LOCAL
================================================================
LogType:syslog_attempt_1649687236961_0265_1_05_000003_0
LogLastModifiedTime:Sat Apr 23 13:32:47 +0800 2022
LogLength:176115
LogContents:
2022-04-23 13:32:32,760 [INFO] [main] |metrics.TaskCounterUpdater|: Using ResourceCalculatorProcessTree : org.apache.tez.util.TezMxBeanResourceCalculator
2022-04-23 13:32:32,760 [INFO] [main] |runtime.LogicalIOProcessorRuntimeTask|: Initializing LogicalIOProcessorRuntimeTask with TaskSpec: DAGName : select 
    d_year, s_city, p_bra...p_brand1 (Stage-1), VertexName: Reducer 2, VertexParallelism: 8, TaskAttemptID:attempt_1649687236961_0265_1_05_000003_0, processorName=org.apache.hadoop.hive.ql.exec.tez.ReduceTezProcessor, inputSpecListSize=5, outputSpecListSize=1, inputSpecList=[{{ sourceVertexName=Map 8, physicalEdgeCount=1, inputClassName=org.apache.tez.runtime.library.input.UnorderedKVInput }}, {{ sourceVertexName=Map 6, physicalEdgeCount=1, inputClassName=org.apache.tez.runtime.library.input.UnorderedKVInput }}, {{ sourceVertexName=Map 1, physicalEdgeCount=19, inputClassName=org.apache.tez.runtime.library.input.OrderedGroupedKVInput }}, {{ sourceVertexName=Map 7, physicalEdgeCount=1, inputClassName=org.apache.tez.runtime.library.input.UnorderedKVInput }}, {{ sourceVertexName=Map 5, physicalEdgeCount=2, inputClassName=org.apache.tez.runtime.library.input.OrderedGroupedKVInput }}, ], outputSpecList=[{{ destinationVertexName=Reducer 3, physicalEdgeCount=1, outputClassName=org.apache.tez.runtime.library.output.OrderedPartitionedKVOutput }}, ], taskConfEntryCount=1
2022-04-23 13:32:32,760 [INFO] [main] |runtime.LogicalIOProcessorRuntimeTask|: Profiling: Tez Container task starting at time 1650691952760 ms
2022-04-23 13:32:32,760 [INFO] [main] |runtime.LogicalIOProcessorRuntimeTask|: Profiling: Tez Container task info: VectorName: Reducer 2 VertexParallelism: 8 TaskID: attempt_1649687236961_0265_1_05_000003_0
2022-04-23 13:32:32,760 [INFO] [main] |resources.MemoryDistributor|: InitialMemoryDistributor (isEnabled=true) invoked with: numInputs=5, numOutputs=1, JVM.maxFree=305345331200, allocatorClassName=org.apache.tez.runtime.library.resources.WeightedScalingMemoryDistributor
2022-04-23 13:32:32,761 [INFO] [TezChild] |task.TaskRunner2Callable|: Initializing task, taskAttemptId=attempt_1649687236961_0265_1_05_000003_0
2022-04-23 13:32:32,761 [INFO] [TezChild] |runtime.LogicalIOProcessorRuntimeTask|: Profiling: Tez 'Initialization' on Reduce stage starting at time 6111448890975228 ns
2022-04-23 13:32:32,766 [INFO] [TaskHeartbeatThread] |task.TaskReporter|: Routing events from heartbeat response to task, currentTaskAttemptId=attempt_1649687236961_0265_1_05_000003_0, eventCount=12 fromEventId=0 nextFromEventId=12
2022-04-23 13:32:32,776 [INFO] [TezChild] |runtime.LogicalIOProcessorRuntimeTask|: Initialized processor
2022-04-23 13:32:32,776 [INFO] [TezChild] |runtime.LogicalIOProcessorRuntimeTask|: Waiting for 6 initializers to finish
2022-04-23 13:32:32,778 [INFO] [TezChild] |runtime.LogicalIOProcessorRuntimeTask|: Waiting for 5 initializers to finish
2022-04-23 13:32:32,779 [INFO] [TezChild] |runtime.LogicalIOProcessorRuntimeTask|: Waiting for 4 initializers to finish
2022-04-23 13:32:32,780 [INFO] [TezChild] |runtime.LogicalIOProcessorRuntimeTask|: Waiting for 3 initializers to finish
2022-04-23 13:32:32,780 [INFO] [I/O Setup 2 Initialize: {Map 1}] |orderedgrouped.MergeManager|: Initial Memory required for SHUFFLE_BUFFER=213741731840 based on INPUT_BUFFER_FACTOR=0.7,  for final merged output=0, using factor: 0.0
2022-04-23 13:32:32,780 [INFO] [TezChild] |runtime.LogicalIOProcessorRuntimeTask|: Waiting for 2 initializers to finish
2022-04-23 13:32:32,782 [INFO] [I/O Setup 4 Initialize: {Map 5}] |orderedgrouped.MergeManager|: Initial Memory required for SHUFFLE_BUFFER=213741731840 based on INPUT_BUFFER_FACTOR=0.7,  for final merged output=0, using factor: 0.0
2022-04-23 13:32:32,782 [INFO] [TezChild] |runtime.LogicalIOProcessorRuntimeTask|: Waiting for 1 initializers to finish
2022-04-23 13:32:32,788 [INFO] [TezChild] |runtime.LogicalIOProcessorRuntimeTask|: All initializers finished
2022-04-23 13:32:32,788 [INFO] [TezChild] |runtime.LogicalIOProcessorRuntimeTask|: Profiling: Tez 'Initialization' on Reduce stage ending at time 6111448917986253 ns
2022-04-23 13:32:32,788 [INFO] [TezChild] |runtime.LogicalIOProcessorRuntimeTask|: Profiling: Tez 'Initialization' on Reduce stage take time 26.982 ms
2022-04-23 13:32:32,788 [INFO] [TezChild] |runtime.LogicalIOProcessorRuntimeTask|: Profiling: Tez 'Shuffle' on Reduce stage starting at time 6111448918085269 ns
2022-04-23 13:32:32,788 [INFO] [TezChild] |resources.MemoryDistributor|: InitialRequests=[Map 7:INPUT:1503238528:org.apache.tez.runtime.library.input.UnorderedKVInput], [Map 6:INPUT:1503238528:org.apache.tez.runtime.library.input.UnorderedKVInput], [Map 8:INPUT:1503238528:org.apache.tez.runtime.library.input.UnorderedKVInput], [Map 1:INPUT:213741731840:org.apache.tez.runtime.library.input.OrderedGroupedKVInput], [Map 5:INPUT:213741731840:org.apache.tez.runtime.library.input.OrderedGroupedKVInput], [Reducer 3:OUTPUT:104857600:org.apache.tez.runtime.library.output.OrderedPartitionedKVOutput]
2022-04-23 13:32:32,789 [INFO] [TezChild] |resources.WeightedScalingMemoryDistributor|: ScaleRatiosUsed=[PARTITIONED_UNSORTED_OUTPUT:1][UNSORTED_OUTPUT:1][UNSORTED_INPUT:1][SORTED_OUTPUT:12][SORTED_MERGED_INPUT:12][PROCESSOR:1][OTHER:1]
2022-04-23 13:32:32,789 [INFO] [TezChild] |resources.WeightedScalingMemoryDistributor|: InitialReservationFraction=0.30000001192092896, AdditionalReservationFractionForIOs=0.09, finalReserveFractionUsed=0.3900000119209289
